region_id;region
1;Алтайский край
2;Амурская область
3;Архангельская область
4;Астраханская область
5;Белгородская область
6;Брянская область
7;Владимирская область
8;Волгоградская область
9;Вологодская область
10;Воронежская область
11;Еврейская автономная область
12;Забайкальский край
13;Ивановская область
14;Иркутская область
15;Кабардино-Балкарская республика
16;Калининградская область
17;Калужская область
18;Камчатский край
19;Карачаево-Черкесская республика
20;Кемеровская область
21;Кировская область
22;Костромская область
23;Краснодарский край
24;Красноярский край
25;Курганская область
26;Курская область
27;Липецкая область
28;Магаданская область
29;Московская область
30;Мурманская область
31;Ненецкий автономный округ
32;Нижегородская область
33;Новгородская область
34;Новосибирская область
35;Омская область
36;Оренбургская область
37;Орловская область
38;Пензенская область
39;Пермский край
40;Приморский край
41;Псковская область
42;Республика Адыгея
43;Республика Алтай
44;Республика Башкортостан
45;Республика Бурятия
46;Республика Дагестан
47;Республика Ингушетия
48;Республика Калмыкия
49;Республика Карелия
50;Республика Коми
51;Республика Крым
52;Республика Марий Эл
53;Республика Мордовия
54;Республика Саха (Якутия)
55;Республика Северная Осетия - Алания
56;Республика Татарстан
57;Республика Тыва
58;Республика Хакасия
59;Ростовская область
60;Рязанская область
61;Самарская область
62;Саратовская область
63;Сахалинская область
64;Свердловская область
65;Смоленская область
66;Ставропольский край
67;Тамбовская область
68;Тверская область
69;Томская область
70;Тульская область
71;Тюменская область
72;Удмуртская республика
73;Ульяновская область
74;Хабаровский край
75;Ханты-Мансийский автономный округ - Югра
76;Челябинская область
77;Чеченская республика
78;Чувашская республика
79;Чукотский автономный округ
80;Ямало-Ненецкий автономный округ
81;Ярославская область
